KEY VALUE,English,Spanish,Brazilian,Chinese,French,German,Hindi,Indonesian,Italian,Japanese,Korean,Russian,LatinAmerican,Thai,Turkish
badge_pokedex_entries_title,Kanto,Kanto,Kanto,關都,Kanto,Kanto,कांतो,Kanto,Kanto,カントー,관동,Канто,Kanto,คันโต,Kanto
badge_pokedex_entries_gen2_title,Johto,Johto,Johto,城都,Johto,Johto,जोहतो,Johto,Johto,ジョウト,성도,Джото,Johto,โจโตะ,Johto
badge_pokedex_entries_gen3_title,Hoenn,Hoenn,Hoenn,豐緣,Hoenn,Hoenn,होएन,Hoenn,Hoenn,ホウエン,호연,Хоэнн,Hoenn,โฮเอ็น,Hoenn
badge_pokedex_entries_gen4_title,Sinnoh,Sinnoh,Sinnoh,神奧,Sinnoh,Sinnoh,सनोह,Sinnoh,Sinnoh,シンオウ,신오,Синно,Sinnoh,ชินโอ,Sinnoh
badge_pokedex_entries_gen5_title,Unova,Teselia,Unova,合眾,Unys,Einall,युनोवा,Unova,Unima,イッシュ,하나,Юнова,Unova,อิชชู,Unova
badge_pokedex_entries_gen6_title,Kalos,Kalos,Kalos,卡洛斯,Kalos,Kalos,कालोस,Kalos,Kalos,カロス,칼로스,Калос,Kalos,คาลอส,Kalos
badge_pokedex_entries_gen7_title,Alola,Alola,Alola,阿羅拉,Alola,Alola,अलोला,Alola,Alola,アローラ,알로라,Алола,Alola,อโลลา,Alola
filter_key_alola,alola,alola,Alola,阿羅拉,Alola,Alola,अलोला,Alola,alola,あろーら,알로라,алола,alola,อโลลา,alola
badge_pokedex_entries_gen8_title,Galar,Galar,Galar,伽勒爾,Galar,Galar,गलार,Galar,Galar,ガラル,가라르,Галар,Galar,กาลาร,Galar
filter_key_hisui,hisui,hisui,hisui,洗翠,hisui,hisui,हसुइ,hisui,hisui,ひすい,히스이,Гисуи,hisui,ฮิซุย,hisui
badge_pokedex_entries_gen8a_title,Hisui,Hisui,Hisui,洗翠,Hisui,Hisui,हसुइ,Hisui,Hisui,ヒスイ,히스이,Гисуи,Hisui,ฮิซุย,Hisui
badge_pokedex_entries_gen9_title,Paldea,Paldea,Paldea,帕底亞,Paldea,Paldea,पैलडीया,Paldea,Paldea,パルデア,팔데아,Пальдея,Paldea,พัลเดีย,Paldea
filter_key_gender_male,Male,macho,Macho,雄性,mâle,Männlich,मेल,Jantan,maschio,おす,수컷,Мужские,Macho,ตัวผู,Erkek
filter_key_gender_female,Female,hembra,Fêmea,雌性,femelle,Weiblich,फ़ीमेल,Betina,femmina,めす,암컷,Женские,Hembra,ตัวเมีย,Dişi
filter_key_gender_none,Genderunknown,génerodesconocido,gênerodesconhecido,性別不明,sexeinconnu,Geschlechtunbekannt,लग का पता नहीं,Gendertakdiketahui,sessosconosciuto,性別不明,성별불명,Полнеизвестен,génerodesconocido,เพศไมแนชัด,Cinsiyetbilinmiyor
general_xxs,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS,XXS
general_xs,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS,XS
general_xl,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL,XL
general_xxl,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL,XXL
filter_key_costume,costume,disfraz,traje,特殊,costume,kostümiert,कॉट्यूम,kostum,costume,とくべつ,특별,костюмы,disfraz,เครื่องแตงกาย,kostüm
filter_key_location_card,locationbackground,fondodelugar,fundodelocalidade,紀念背卡,fonddelieu,Ortshintergrund,लोकशनबैकाउंड,latarbelakanglokasi,sfondodiposizione,ろけーしょんはいけい,로케이션배경,фонместа,fondodelaubicación,พื้นหลังสถานที่,konumarkaplanı
filter_key_location_card_old,locationcards,cartasdelugar,cartoesdelocalizacao,紀念背卡,cartesdelieu,ortskarten,लोकशन काड,kartulokasi,schedericordo,はいけい,배경,карточкиместа,tarjetadeubicacion,การดสถานที่,konumkartları
filter_key_special_background,specialbackground,fondoespecial,fundoespecial,特別背卡,fondspécial,Spezialhintergrund,पेशलबैकाउंड,latarbelakangspesial,sfondospeciale,すぺしゃるはいけい,스페셜배경,особыйфон,fondoespecial,พื้นหลังพิเศษ,özelarkaplan
filter_key_any_background,background,fondo,fundo,背卡,fond,Hintergrund,बैकाउंड,latarbelakang,sfondo,はいけい,배경,фон,fondo,พื้นหลัง,arkaplan
filter_key_baby,eggsonly,huevosolo,apenasovos,只限蛋,oeufseulement,nurausEiern,सफ़ अंडे,khusustelur,solouovo,たまごのみ,알,толькояйца,solohuevos,รางเบบี้,sadeceyumurta
filter_key_legendary,legendary,legendario,lendário,傳說的寶可夢,légendaire,Legendär,लजेंडर,Legendaris,leggendario,伝説のポケモン,전설의 포켓몬,легендарные,legendario,ตำนาน,efsanevi
filter_key_mythical,mythical,singular,Mítico,幻,fabuleux,Mysteriös,मथकल,Mitos,misterioso,まぼろし,환상,мифические,mítico,มายา,mitolojik
filter_key_ultra_beast,Ultra Beasts,Ultraente,Ultracriatura,究極異獸,Ultra-Chimère,Ultrabestien,अटा बीट,Ultra Beast,ultracreatura,ウルトラビースト,울트라비스트,Ультрачудовища,Ultraente,อัลตราบีสต,Ultra Yaratık
filter_key_ultra_beasts,ultrabeast,ultraente,ultracriatura,究極異獸,ultra-chimère,ultrabestie,अटाबीट,UltraBeast,ultracreatura,ウルトラビースト,울트라비스트,Ультрачудовище,ultraente,อัลตราบีสต,ultrayaratık
filter_key_shadow,shadow,oscuro,Sombroso,暗影,obscur,Crypto,शैडो,bayangan,ombra,しゃどう,그림자,теневые,oscuro,ชาโดว,gölge
filter_key_purified,purified,purificado,purificado,淨化,purifié,erlöst,शु,purifikasi,purificato,らいと,정화,очищенные,purificado,ชำระลาง,arınmış
filter_key_shiny,shiny,variocolor,Brilhante,異色,chromatique,Schillernd,शाइनी,Bersinar,cromatico,色違い,색이 다른,сияющие,brillante,สีแตกตาง,parlak
filter_key_lucky,lucky,suerte,sortudo,亮晶晶,chanceux,Glücks,लक,istimewa,fortunato,キラ,반짝반짝,удачливые,suerte,นำโชค,şanslı
filter_key_defender,defender,defensor,defensor,防禦者,défenseur,Verteidiger,डफ़ेंडर,Pelindung,difensore,ジムを守るポケモン,방어 포켓몬,защитники,defensor,ปองกันยิม,savunan
favorite_filter_group_key,Favorite,Favoritos,Favorito,我的最愛,Favoris,Favorit,पसंदीदा,Favorit,Preferiti,お気に入り,즐겨찾기,Избранные,Favoritos,รายการโปรด,Favori
filter_key_candyxl,candyxl,caramelo++,doce GG,糖果XL,bonbonL,bonbonxl,कडी XL,permenxl,caramellaL,アメXL,사탕XL,конфетыXL,carameloxl,ลูกอม XL,büyükşeker
filter_key_bread,dynamax,dinamax,dinamax,極巨化,dynamax,dynamax,डायनामैस,dynamax,dynamax,だいまっくす,다이맥스,динамакс,dinamax,ไดแมกซ,dinamaks
filter_key_dough,gigantamax,gigamax,gigamax,超極巨化,gigamax,gigadynamax,जायगैंटामैस,gigantamax,gigamax,きょだいまっくす,거다이 맥스,гигантамакс,gigamax,กิกะแมกซ,gigantamaks
filter_key_candy_km,candykm,kmcaramelo,docekm,糖果距離,kmbonbon,Bonbonkm,कडी km,permenkm,kmcaramella,アメ距離,사탕 거리,конфетакм,kmcaramelo,ระยะทางลูกอม,şekerkm
filter_key_has_duplicate,Duplicate,Repetido,duplicado,兩隻以上,Double,Duplikate,डुलकट,Duplikat,Più esemplari,ふくすう,중복,Повторяющиеся,Copia,ซ้ำ,birdençok
filter_key_count,count,cantidad,total,數量,total,Anzahl,गने,hitung,quantità,カウント,카운트,всего,cantidad,จำนวน,toplam
filter_key_raid,raid,Incursión,Reide,團體戰,Raid,Raid,रड,raid,raid,レイド,레이드,рейд,incursión,ตีบอส,akın
filter_key_raid_remote,remoteraid,incursiónremota,reideadistância,遠距團體戰,raidàdistance,FernRaid,रमोटरड,raidjarakjauh,raidremoto,リモートレイド,리모트 레이드,удалённыйрейд,incursiónremota,ตีบอสระยะไกล,uzakakın
filter_key_raid_mega,megaraid,megaincursión,megarreide,超級團體戰,mégaraid,MegaRaid,मेगारड,raidmega,megaraid,メガレイド,메가 레이드,мегарейд,megaincursión,ตีบอสเมกา,megaakın
filter_key_raid_ex,exraid,incursiónex,reideex,VIP團體戰,raidex,ExRaid,EX रड,raidex,raidex,EXレイド,EX레이드,EX-рейд,incursiónex,ตีบอส EX,özelakın
filter_key_raid_primal,primalraid,incursionprimigenia,reideprimitivo,原始團體戰,primo-raid,protoraid,ाइमल रड,raidprimal,archeoraid,げんしれいど,원시 레이드,проторейд,incursionprimigenia,ตีบอสตนกำเนิด,kadimakın
filter_key_hatched,hatched,eclosionado,chocado,孵化,éclos,ausgebrütet,हैच कए गए,ditetaskan,dauovo,ふか,부화,вылупились,eclosionado,ฟกจากไข,yumurtadan
filter_key_research,research,investigación,pesquisa,調查,étude,Forschung,रसच,penelitian,ricerca,リサーチ,리서치,квест,investigación,งานวิจัย,araştırma
filter_key_gbl,gbl,lcg,lbg,GO對戰聯盟,lgc,GBL,gbl,gbl,llg,バトルリーグ,gbl,боеваялигаGO,lcg,โกแบตเทิลลีก,gml
filter_key_rocket,rocket,rocket,rocket,火箭,rocket,Rocket,रॉकट,roket,rocket,ロケット,로켓,ракета,rocket,ร็อกเกต,roket
filter_key_photobomb,snapshot,instantánea,retrato,Snapshot,photo,Schnappschuss,नैपशॉट,hasil potret,foto,スナップショット,스냅샷,фото,foto,ถายภาพ,Fotoğraf
filter_key_traded,traded,intercambiados,Trocado,交換,échangé,getauscht,टड कये गए,ditukarkan,scambiato,こうかん,교환,обменянные,intercambiados,แลกเปลี่ยน,takaslanan
filter_key_caught_in_party,party,equipo,grupo,小隊,équipe,team,टम,grup,gruppo,チーム,팀,команда,equipo,ปารตี้,ekip
pokemon_info_evolve_button,Evolve,Evolucionar,Evoluir,進化,Évoluer,Entwickeln,वकसत,Evolusi,Fai evolvere,進化,진화,Эволюция,Evolucionar,วิวัฒนาการ,Evrimleştir
filter_key_evolve_to_new,evolvenew,nuevaevolución,evoluirnovo,未登錄,nouvelleévolution,NeueEntwicklung,नया वकास करं,evolusibaru,nuovaevoluzione,みとうろく,미등록,новаяэволюция,nuevaevolución,วิวัฒนาการใหม,yenievrim
filter_key_evolve_mega,megaevolve,megaevoluciona,megaevolui,超級進化,mégaévolue,MegaEntwicklung,मेगा एवॉव,evolusimega,megaevoluto,めがしんか,메가진화,мегаэволюция,megaevoluciona,วิวัฒนาการเมกา,megaevrim
filter_key_evolvemega,megaevolve,megaevoluciona,megaevolui,超級進化,mégaévolue,MegaEntwicklung,मेगा एवॉव,evolusimega,megaevoluzione,めがしんか,메가진화,мегаэволюция,megaevoluciona,วิวัฒนาการเมกา,megaevrim
filter_key_evolve_with_item,item,objeto,item,道具,objet,Item,आइटम,item,strumento,どうぐ,도구,предмет,objeto,ไอเท็ม,eşya
filter_key_can_evolve_with_trading,tradeevolve,evoluciónintercambio,evoluirportroca,交換進化,évolutionparéchange,Tauschentwicklung,टड करक वकसत,tukardanevolusi,evoluzionetramitescambio,こうかんしんか,교환진화,обменэволюция,evoluciónintercambio,แลกเปลี่ยนกลายราง,takasevrimi
filter_key_evolve_with_quest,evolvequest,investigacionevolucion,evoluirmissao,有進化條件,évolutionparquête,entwicklungsaufgabe,इवॉववेट,evolusimisi,evoluzionetramitericerca,じょうけんしんか,조건 진화,эволюциявквесте,evolucióninvestigación,เงื่อนไขวิวัฒนาการ,evrimgörevi
filter_key_fusion,fusion,fusión,fusão,合體,fusion,Fusion,यूज़न,fusi,fusione,がったい,합체,объединение,fusión,รวมราง,birleştirme
filter_key_special_move,special,especial,especial,特別,spécial,spezial,पेशल,Spesial,speciale,わざ,기술,особые,especial,พิเศษ,özel
weather_weather,Weather,Tiempo atmosférico,Clima,天氣,Météo,Wetter,मौसम,Cuaca,Condizioni atmosferiche,天候,날씨,Погода,Clima,สภาพอากาศ,Hava Durumu
filter_key_field_effect,adventureeffect,efectoaventura,efeitodeaventura,冒險效果,effetaventure,abenteuereffekt,फ़ीडइफ़ेट,efekpetualangan,effettoavventura,ふぃーるど,필드,эффектприключений,efectoaventura,เอฟเฟกตผจญภัย,maceraetkisi
filter_key_bread_move_a,maxmove,movimientomax,movimentomax,極巨招式,capacitédynamax,dynaattacke,मैसमूव,jurusmax,mossadynamax,まっくすわざ,맥스 기술,приёммакс,movimientomax,ทาแมกซ,maksihareket
filter_key_bread_move_b,maxguard,maxibarrera,guardamax,極巨防壁,gardomax,dynawall,मैसगाड,maxguard,dynabarriera,だいうぉーる,다이월,защитамакс,maxibarrera,ไดวอลล,maksikoruma
filter_key_bread_move_c,maxspirit,maxivigor,espiritomax,極巨回復,régémax,dynakampfgeist,मैसिपरट,maxspirit,dynaspirito,だいりかばりー,다이리커버리,боевойдухмакс,maxiánimo,ไดรีคัฟเวอรี,maksiruh
filter_friend_key_interactable,interactable,interacción,interagir,互動,interaction,interaktionsfähig,इंटरैट करने लायक,interaksi,interagisci,インタラクト,상호작용,общающиеся,interacción,เพิ่มระดับได,etkileşimli
filter_friend_key_giftable,giftable,regalo,presenteável,禮物,cadeau,schenkbar,गट,hadiah,regala,ギフト,선물,подарок,regalo,ใหของได,hediye
filter_friend_key_lucky,lucky,suerte,sortudo,亮晶晶,chanceux,Glücks,लक,istimewa,fortunato,キラ,반짝반짝,удачливые,suerte,นำโชค,şanslı
filter_friend_key_rank,friendlevel,nivelamistad,níveldeamizade,友誼等級,niveauamitié,Freundeslevel,दोत का लवल,levelteman,livelloamicizia,仲良し度,우정레벨,уровеньдружбы,nivelamistad,ระดับเพื่อน,arkadaşseviyesi
